,Unnamed: 0,full_name,num_games,season,turner_name,avg_minutes,avg_two_points_made_pm,avg_field_goals_miss_pm,avg_three_points_made_pm,avg_free_throws_made_pm,avg_free_throws_miss_pm,avg_off_rebounds_pm,avg_def_rebounds_pm,avg_assists_pm,avg_turnovers_pm,avg_steals_pm,avg_block_pm,avg_personal_fouls_pm,PER,avg_points_pm,avg_rebounds_pm
0,0,Quinn Cook,39,2014,Duke University,35.794871794871796,0.06948424068767907,0.1719197707736389,0.07306590257879654,0.07020057306590256,0.008595988538681943,0.010744985673352437,0.08309455587392547,0.07378223495702005,0.033667621776504286,0.027936962750716325,0.0007163323782234956,0.054441260744985634,11.333333333333334,0.42836676217765035,0.09383954154727792
1,14,Aaron Harrison,39,2014,University of Kentucky,25.76923076923077,0.0865671641791045,0.22288557213930352,0.058706467661691526,0.07860696517412935,0.021890547263681597,0.01492537313432836,0.08457711442786071,0.05472636815920399,0.03482587064676617,0.04278606965174129,0.005970149253731343,0.06069651741293532,1.0499999999999998,0.42786069651741293,0.09950248756218907
2,18,Tyus Jones,39,2014,Duke University,33.897435897435905,0.06656580937972767,0.14296520423600606,0.03555219364599091,0.10892586989409983,0.01361573373676248,0.014372163388804841,0.08925869894099846,0.16414523449319213,0.057488653555219364,0.04462934947049923,0.0022692889561270802,0.03479576399394856,12.5,0.3487140695915279,0.1036308623298033
3,19,Julius Randle,40,2013,University of Kentucky,30.825,0.15652879156528796,0.15896188158961885,0.0024330900243309003,0.16545012165450124,0.06974858069748581,0.11354420113544203,0.22465531224655308,0.04622871046228712,0.0819140308191403,0.016220600162206,0.025141930251419302,0.07380373073803731,7.566666666666667,0.48580697485806984,0.3381995133819951
4,20,James Young,40,2013,University of Kentucky,32.39999999999999,0.0779320987654321,0.20601851851851855,0.06327160493827164,0.09645061728395066,0.04012345679012347,0.03163580246913582,0.1003086419753087,0.05169753086419754,0.05787037037037038,0.023148148148148157,0.0061728395061728435,0.06404320987654323,7.366666666666667,0.44212962962962976,0.13194444444444453
5,25,Andrew Harrison,39,2014,University of Kentucky,25.48717948717949,0.06539235412474848,0.16700201207243456,0.03621730382293762,0.12676056338028166,0.03319919517102615,0.0130784708249497,0.07444668008048289,0.1398390342052314,0.06438631790744465,0.04024144869215292,0.008048289738430588,0.07042253521126761,8.7,0.3661971830985915,0.08752515090543259
6,26,Justise Winslow,39,2014,Duke University,29.102564102564106,0.11189427312775332,0.16123348017621142,0.04052863436123348,0.0881057268722467,0.049339207048458164,0.0431718061674009,0.17885462555066084,0.0722466960352423,0.06255506607929516,0.0458149779735683,0.029955947136563882,0.09515418502202644,8.3,0.4334801762114538,0.22202643171806175
7,30,Willie Cauley-Stein,39,2014,University of Kentucky,25.948717948717945,0.133399209486166,0.09980237154150197,0.0,0.07806324110671936,0.048418972332015815,0.08794466403162053,0.16007905138339926,0.03754940711462449,0.047430830039525695,0.04644268774703557,0.06620553359683795,0.07707509881422928,15.85,0.34486166007905134,0.24802371541501977
8,33,Shabazz Napier,40,2013,University of Connecticut,35.1,0.08974358974358974,0.2015669515669516,0.06196581196581196,0.1474358974358974,0.022079772079772075,0.02706552706552707,0.13960113960113954,0.1388888888888889,0.0811965811965812,0.05199430199430199,0.009259259259259259,0.059829059829059825,10.833333333333334,0.5128205128205128,0.1666666666666666
9,49,Karl-Anthony Towns,39,2014,University of Kentucky,21.076923076923073,0.17396593673965938,0.13503649635036502,0.002433090024330901,0.1326034063260341,0.030413625304136258,0.1119221411192214,0.2055961070559611,0.053527980535279816,0.06447688564476887,0.02189781021897811,0.10705596107055963,0.13990267639902682,24.25,0.4878345498783455,0.3175182481751825
20,4313,Eric Moreland,20,2013,Oregon State University,29.4,0.11054421768707484,0.10884353741496597,0.0017006802721088435,0.07653061224489795,0.061224489795918366,0.07823129251700679,0.2704081632653061,0.04761904761904761,0.07653061224489792,0.02210884353741497,0.06632653061224489,0.08333333333333333,24.099999999999998,0.30272108843537415,0.34863945578231287
21,4316,Briante Weber,20,2014,Virginia Commonwealth University,26.5,0.0811320754716981,0.15471698113207547,0.022641509433962263,0.07547169811320754,0.02641509433962264,0.026415094339622643,0.11132075471698114,0.16037735849056606,0.0641509433962264,0.14716981132075474,0.007547169811320755,0.07358490566037736,14.316666666666668,0.3056603773584905,0.13773584905660377
22,4701,Rashad Vaughn,23,2014,"University of Nevada, Las Vegas",32.21739130434783,0.12145748987854248,0.24831309041835356,0.0728744939271255,0.09176788124156546,0.04048582995951417,0.018893387314439947,0.1309041835357625,0.048582995951417005,0.06747638326585695,0.024291497975708502,0.010796221322537115,0.07287449392712549,6.0,0.5533063427800269,0.14979757085020245
23,4828,David Stockton,23,2013,Gonzaga University,27.52173913043478,0.07424960505529228,0.12006319115323852,0.01579778830963665,0.06477093206951028,0.028436018957345974,0.006319115323854661,0.07109004739336497,0.1563981042654028,0.08056872037914692,0.05055292259083729,0.0047393364928909965,0.07582938388625593,10.8,0.26066350710900477,0.07740916271721963
24,5403,Justin Anderson,26,2014,University of Virginia,27.846153846153847,0.07734806629834255,0.16298342541436464,0.0649171270718232,0.08839779005524864,0.02486187845303868,0.023480662983425417,0.12154696132596685,0.062154696132596686,0.042817679558011065,0.023480662983425413,0.01933701657458564,0.04143646408839781,13.425,0.4378453038674034,0.14502762430939226
27,5796,Joel Embiid,28,2013,University of Kansas,23.107142857142854,0.16383307573415767,0.09891808346213292,0.0015455950540958269,0.15146831530139102,0.0695517774343122,0.10046367851622874,0.250386398763524,0.05873261205564141,0.10200927357032458,0.03863987635239567,0.11128284389489952,0.1452859350850077,24.1,0.4837712519319939,0.3508500772797527
28,7144,Marcus Smart,31,2013,Oklahoma State University,32.70967741935483,0.1124260355029586,0.2199211045364892,0.04832347140039448,0.1794871794871795,0.06706114398422093,0.04339250493096648,0.13708086785009865,0.14595660749506906,0.08086785009861934,0.08777120315581853,0.017751479289940832,0.08974358974358977,11.433333333333332,0.5493096646942801,0.18047337278106512
29,7358,Denzel Valentine,31,2015,Michigan State University,32.96774193548386,0.09882583170254404,0.2338551859099805,0.10176125244618396,0.0792563600782779,0.013698630136986306,0.024461839530332687,0.20450097847358129,0.23581213307240706,0.08317025440313111,0.03131115459882584,0.006849315068493153,0.05088062622309199,7.3,0.5821917808219178,0.22896281800391396
30,7434,Adreian Payne,31,2013,Michigan State University,28.06451612903225,0.15402298850574714,0.20229885057471267,0.050574712643678174,0.12528735632183913,0.03333333333333334,0.05517241379310345,0.20344827586206898,0.0471264367816092,0.07241379310344828,0.01724137931034483,0.03218390804597701,0.0919540229885058,7.68,0.5850574712643679,0.25862068965517243
