,full_name,num_games,season,turner_name,avg_minutes,avg_two_points_made_pm,avg_field_goals_miss_pm,avg_three_points_made_pm,avg_free_throws_made_pm,avg_free_throws_miss_pm,avg_off_rebounds_pm,avg_def_rebounds_pm,avg_assists_pm,avg_turnovers_pm,avg_steals_pm,avg_block_pm,avg_personal_fouls_pm
0,Quinn Cook,39,2014,Duke University,35.7948717948718,0.06948424068767908,0.1719197707736389,0.07306590257879654,0.07020057306590256,0.008595988538681943,0.010744985673352435,0.08309455587392547,0.07378223495702005,0.033667621776504286,0.027936962750716325,0.0007163323782234956,0.054441260744985634
1,Brice Johnson,40,2015,"University of North Carolina, Chapel Hill",28.025000000000002,0.23818019625334527,0.14986619090098122,0.0,0.1284567350579839,0.03568242640499553,0.10258697591436217,0.2685102586975914,0.05173951828724354,0.062444246208742185,0.0383586083853702,0.052631578947368425,0.09455842997323817
2,Nate Britt,40,2016,"University of North Carolina, Chapel Hill",18.999999999999993,0.05000000000000002,0.1539473684210527,0.0342105263157895,0.03552631578947369,0.013157894736842113,0.014473684210526323,0.08157894736842111,0.12368421052631584,0.0486842105263158,0.05394736842105265,0.002631578947368422,0.09342105263157897
3,Frankie Ferrari,39,2017,University of San Francisco,28.717948717948712,0.07767857142857147,0.2,0.06250000000000001,0.05535714285714287,0.014285714285714287,0.006250000000000003,0.07767857142857143,0.15892857142857147,0.06160714285714286,0.03571428571428572,0.0,0.06428571428571431
4,Jordan Mathews,39,2016,Gonzaga University,27.999999999999996,0.043040293040293054,0.17765567765567766,0.07783882783882784,0.06043956043956046,0.021978021978021973,0.02380952380952381,0.09340659340659342,0.05219780219780221,0.02930402930402931,0.031135531135531143,0.004578754578754579,0.04853479853479855
5,Devonte' Graham,39,2017,University of Kansas,37.79487179487179,0.06037991858887384,0.20284938941655362,0.07462686567164178,0.11329715061058349,0.023744911804613307,0.01628222523744912,0.09023066485753055,0.19131614654002715,0.07394843962008142,0.04206241519674357,0.00135685210312076,0.03799185888738128
6,Duncan Robinson,41,2017,University of Michigan,25.829268292682926,0.04154863078375828,0.14636449480642116,0.07365439093484422,0.0538243626062323,0.0066100094428706326,0.017941454202077434,0.0764872521246459,0.041548630783758256,0.023607176581680826,0.0254957507082153,0.015108593012275733,0.09348441926345609
7,Niels Giffey,40,2013,University of Connecticut,24.675,0.05775075987841946,0.09929078014184398,0.05876393110435664,0.04863221884498481,0.018237082066869303,0.04660587639311045,0.1084093211752786,0.03242147922998987,0.03647416413373861,0.028368794326241138,0.019250253292806482,0.09321175278622086
8,Donte DiVincenzo,40,2017,Villanova University,29.275,0.08795900939368062,0.17335610589239966,0.07258753202391119,0.06490179333902649,0.02647309991460291,0.039282664389410776,0.12297181895815543,0.11870196413321943,0.06746370623398805,0.03586678052946201,0.006831767719897523,0.0708795900939368
9,Moritz Wagner,39,2017,University of Michigan,27.64102564102564,0.14192949907235627,0.17903525046382193,0.05844155844155845,0.06957328385899815,0.030612244897959183,0.05287569573283859,0.20500927643784791,0.030612244897959183,0.05194805194805196,0.0352504638218924,0.018552875695732843,0.11131725417439704
10,Lasan Kromah,40,2013,University of Connecticut,22.425,0.07692307692307691,0.13043478260869565,0.02341137123745819,0.04682274247491638,0.02118171683389074,0.02452619843924192,0.09476031215161648,0.05128205128205129,0.056856187290969896,0.050167224080267546,0.01560758082497213,0.061315496098104785
11,Dakari Johnson,39,2014,University of Kentucky,16.282051282051277,0.12440944881889766,0.12125984251968511,0.0,0.14173228346456695,0.08503937007874016,0.10551181102362209,0.1763779527559056,0.045669291338582683,0.0661417322834646,0.022047244094488192,0.056692913385826785,0.10866141732283464
12,Shep Garner,39,2017,Pennsylvania State University,32.794871794871796,0.02032838154808444,0.14308053166536358,0.09382329945269742,0.026583268178264265,0.005473025801407352,0.006254886630179833,0.05629397967161845,0.04065676309616887,0.03674745895230648,0.02736512900703675,0.003127443315089915,0.0648944487881157
13,Nate Renfro,39,2017,University of San Francisco,23.333333333333343,0.08351648351648348,0.10549450549450544,0.019780219780219772,0.03296703296703296,0.04615384615384614,0.06043956043956042,0.16373626373626365,0.06483516483516483,0.06043956043956042,0.027472527472527458,0.046153846153846136,0.12417582417582416
14,Aaron Harrison,39,2014,University of Kentucky,25.76923076923077,0.0865671641791045,0.22288557213930352,0.05870646766169153,0.07860696517412935,0.021890547263681594,0.014925373134328358,0.08457711442786071,0.05472636815920399,0.03482587064676617,0.04278606965174129,0.005970149253731344,0.06069651741293533
15,Elijah Wilson,39,2016,Coastal Carolina University,30.307692307692314,0.06175972927241962,0.2698815566835871,0.08460236886632823,0.052453468697123494,0.017766497461928925,0.029610829103214883,0.07529610829103212,0.04145516074450085,0.06006768189509305,0.03214890016920473,0.0016920473773265647,0.06345177664974619
16,Josh Gasser,40,2014,"University of Wisconsin, Madison",33.00000000000001,0.021212121212121206,0.07348484848484849,0.03712121212121211,0.04696969696969697,0.009848484848484846,0.021969696969696965,0.0833333333333333,0.05303030303030301,0.01590909090909091,0.022727272727272728,0.006060606060606061,0.06818181818181816
